,complaint_type,text,labels
1804,HAZARDOUS MATERIALS,lead outdoor,10
249,STREET CONDITION,newspaper box complaint,21
768,CONSUMER COMPLAINT,going business,3
2418,FOOD ESTABLISHMENT,controlled sewage,9
348,HIGHWAY CONDITION,dead animal,11
1133,ELECTRICAL,drug enforcement supervision order,8
1047,CONSTRUCTION SAFETY ENFORCEMENT,good decimetre tracking complaint,2
625,DCA / DOH NEW LICENSE APPLICATION REQUEST,licensed home improvement contractor bumper sticker,4
1153,VIOLATION OF PARK RULES,use freshly seeded lawn,24
1158,VIOLATION OF PARK RULES,unsafe fire cases,24
467,TREE,unauthorized tree removal,23
493,SANITATION,dead deer,18
1001,CONSTRUCTION SAFETY ENFORCEMENT,Monitoring csc tracking,2
117,TREE,hitting power phone lines,23
819,HAZARDOUS MATERIALS,building collapse fire,10
778,CONSUMER COMPLAINT,cabaret,3
960,MAINTENANCE OR FACILITY,outdoors structure,14
208,DOF PARKING - PAYMENT ISSUE,card dof confirmation number issued,5
1835,DOF PROPERTY - PAYMENT ISSUE,jurisdiction dispute,6
1171,VIOLATION OF PARK RULES,fresh ocean path,24
935,MAINTENANCE OR FACILITY,graffiti malicious mischief,14
1507,SCRIE,new application,19
518,FOOD ESTABLISHMENT,facility construction,9
1394,DOF PARKING - PAYMENT ISSUE,settlement cost reduction shown,5
856,TRAFFIC,expy fixture,22
2,PLUMBING,bathtub,17
31,NOISE,noise construction equipment,15
1771,HAZARDOUS MATERIALS,unsafe chemical,10
2116,TREE,dead branches tree,23
485,CONSTRUCTION SAFETY ENFORCEMENT,construction safety compliance action,2
162,WATER CONSERVATION,wasting faucetssinksflushometerurinaletc private residence,25
1318,ILLEGAL PARKING,commercial overnight shifts,13
2400,FOOD ESTABLISHMENT,food prep kitchen area,9
815,DCA / DOH NEW LICENSE APPLICATION REQUEST,scale dealer repairer license,4
472,DCA / DOH NEW LICENSE APPLICATION REQUEST,seasonal food cart vendor permit,4
1267,HIGHWAY CONDITION,vertical line marking,11
2471,HPD LITERATURE REQUEST,homefirst payment entropy,12
88,PLUMBING,water low pressure,17
127,MAINTENANCE OR FACILITY,unsecured facility,14
1679,OTHER,grass detector,16
1221,HIGHWAY CONDITION,pdf,11
679,CONSTRUCTION SAFETY ENFORCEMENT,sst tracking complaint,2
934,MAINTENANCE OR FACILITY,graffiti sculpture,14
2395,FOOD ESTABLISHMENT,kitchen fish handling area,9
1195,VIOLATION OF PARK RULES,unauthorized film,24
2363,SEWER,body odor,20
266,HPD LITERATURE REQUEST,hpd guide programs services,12
2008,NOISE,construction noise hours,15
1155,VIOLATION OF PARK RULES,unsafe use causes,24
288,DOF PROPERTY - REDUCTION ISSUE,personal dhe exemption,7
619,SEWER,damage structure railing,20
445,CONSTRUCTION SAFETY ENFORCEMENT,cse sweep,2
821,TRAFFIC,messenger,22
347,CONSUMER COMPLAINT,paid advance,3
2174,AIR QUALITY,air residential,0
195,STREET CONDITION,blocked construction,21
920,MAINTENANCE OR FACILITY,Operation hours,14
29,FOOD ESTABLISHMENT,bare hands contact w food,9
2292,DOF PROPERTY - REDUCTION ISSUE,condo co op es abatement,7
1837,DOF PROPERTY - PAYMENT ISSUE,interest pricing,6
2461,HPD LITERATURE REQUEST,tenant monthly daily brochure notes,12
956,MAINTENANCE OR FACILITY,structure outdoors,14
1192,VIOLATION OF PARK RULES,flowers removing plants,24
1893,DOF PROPERTY - PAYMENT ISSUE,unpaid owed dispute,6
1937,SANITATION,Dirty sidewalk,18
423,OTHER,cooking gas,16
1215,VIOLATION OF PARK RULES,bbq outside authorized expanse,24
77,AIR QUALITY,air odor fumes restaurant,0
662,TRAFFIC,stop temporary,22
18,CONSTRUCTION,windows,1
1302,ILLEGAL PARKING,blocked users,13
771,HPD LITERATURE REQUEST,article loan program,12
1028,CONSTRUCTION SAFETY ENFORCEMENT,industrial construction trades safety compliance action,2
435,DOF PROPERTY - PAYMENT ISSUE,amount owed dispute,6
1924,SANITATION,dirty trades area alleyway,18
594,CONSUMER COMPLAINT,minor access,3
898,HPD LITERATURE REQUEST,certificate harassment exemption,12
170,TREE,dead branches tree,23
2075,TREE,production block,23
2058,NOISE,road horn honking sign requested,15
2598,PLUMBING,water waste,17
646,DOF PROPERTY - PAYMENT ISSUE,payment misapplied,6
1822,DOF PROPERTY - PAYMENT ISSUE,billing rate,6
2230,DOF PROPERTY - REDUCTION ISSUE,personal sche exemption,7
2276,DOF PROPERTY - REDUCTION ISSUE,commercial profit gains exemption,7
583,CONSTRUCTION SAFETY ENFORCEMENT,best dm tracking complaint,2
2016,NOISE,Alarms noise,15
2040,NOISE,air noise condition equip ventilation commercial,15
1665,OTHER,Carbon monoxide,16
640,DCA / DOH NEW LICENSE APPLICATION REQUEST,tow truck company license,4
13,CONSTRUCTION,fire escape,1
2413,FOOD ESTABLISHMENT,edible insects garbage,9
1169,VIOLATION OF PARK RULES,unlicensed vendors,24
216,STREET CONDITION,bracket arm missing,21
2462,HPD LITERATURE REQUEST,tenant pictured brochure cover,12
610,TRAFFIC,ped lens,22
2402,FOOD ESTABLISHMENT,food worker relief activity,9
381,AIR QUALITY,dry cleaning vapors,0
2367,SEWER,sewer odor,20
2574,CONSTRUCTION,gas,1
334,CONSUMER COMPLAINT,demand cash,3
690,PLUMBING,puddle roof,17
49,HIGHWAY CONDITION,litter,11
2381,SEWER,missing tire exposing hole,20
847,DCA / DOH NEW LICENSE APPLICATION REQUEST,secondhand dealer firearms license,4
1010,CONSTRUCTION SAFETY ENFORCEMENT,csc supports scaffolding,2
1986,NOISE,noise resembling barking dog,15
1546,SCRIE,successful application appeal,19
2358,SEWER,street cave analysis,20
570,STREET CONDITION,general bad condition,21
1075,ELECTRICAL,x,8
1300,ILLEGAL PARKING,blocked avenue sidewalk,13
1051,CONSTRUCTION SAFETY ENFORCEMENT,interior space tracking,2
2216,AIR QUALITY,air fumes odor carting private,0
1405,DOF PARKING - PAYMENT ISSUE,applied wrong cause,5
2102,TREE,dead dying parents,23
140,CONSUMER COMPLAINT,debt owed,3
459,FOOD ESTABLISHMENT,letter grading,9
2109,TREE,samsung power phone conversations,23
2175,AIR QUALITY,air fume residential,0
528,DCA / DOH NEW LICENSE APPLICATION REQUEST,scrap metal processor license,4
1106,ELECTRICAL,local wiring,8
2035,NOISE,noise condition equip building,15
1085,ELECTRICAL,bell clock sounded,8
2114,TREE,dead branches tree,23
30,SANITATION,dead animals,18
2316,SEWER,street side flooding,20
2222,AIR QUALITY,air navigation,0
349,TRAFFIC,street light feed,22
1440,DOF PARKING - PAYMENT ISSUE,status adjustment payment,5
74,OTHER,smoke detector,16
1188,VIOLATION OF PARK RULES,removing flowers plants,24
466,HPD LITERATURE REQUEST,notice housing code enforcement issues,12
645,TRAFFIC,cmu communication,22
1697,OTHER,Flue gases,16
1901,DOF PROPERTY - PAYMENT ISSUE,refund regarding info aid,6
51,STREET CONDITION,st name attached pole,21
1061,ELECTRICAL,electric locomotive,8
1016,CONSTRUCTION SAFETY ENFORCEMENT,Scaffolding csc,2
1045,CONSTRUCTION SAFETY ENFORCEMENT,best fast tracking driver,2
1676,OTHER,smoke detector detector,16
139,SEWER,catch basin sunken damaged raised,20
893,DOF PROPERTY - PAYMENT ISSUE,eft online payment problem,6
1777,HAZARDOUS MATERIALS,Unsafe chemical unknown,10
1292,HIGHWAY CONDITION,high fall grass,11
1549,SCRIE,application application,19
1142,VIOLATION OF PARK RULES,obstructing speech,24
1470,SCRIE,scrie assistance,19
2037,NOISE,noise handling condition managers equip toilets,15
2655,CONSUMER COMPLAINT,unlicenced,3
212,DOF PROPERTY - REDUCTION ISSUE,personal exemption,7
2258,DOF PROPERTY - REDUCTION ISSUE,commercial tax exemption,7
181,STREET CONDITION,metal protruding sign stump,21
584,HAZARDOUS MATERIALS,oil spill street small,10
371,SANITATION,private carter spillage,18
52,TRAFFIC,pedestrian signal,22
2356,SEWER,street cave depression,20
2085,TREE,willow chained tree,23
2430,FOOD ESTABLISHMENT,food analysis,9
866,TRAFFIC,ethernet cable,22
586,STREET CONDITION,cellar door new,21
530,STREET CONDITION,bracket arm loose,21
1613,WATER CONSERVATION,illegal use,25
1568,WATER CONSERVATION,water broken meter leaking residence private,25
2579,PLUMBING,shower,17
1860,DOF PROPERTY - PAYMENT ISSUE,indicates unresolved competent agency charge,6
1900,DOF PROPERTY - PAYMENT ISSUE,refund credit risk info protection status,6
2254,DOF PROPERTY - REDUCTION ISSUE,personal history,7
2069,TREE,branch cracked shell,23
2369,SEWER,Canal odour,20
2391,FOOD ESTABLISHMENT,bare hands contact atomic number food thought,9
1806,HAZARDOUS MATERIALS,lead man,10
1779,HAZARDOUS MATERIALS,spill street school,10
1477,SCRIE,rec,19
2364,SEWER,hazardous sewer odor,20
629,HPD LITERATURE REQUEST,abcs housing chinese,12
2522,HPD LITERATURE REQUEST,housing teacher education program program course guide,12
2122,TREE,entire tree fallen,23
1635,WATER CONSERVATION,water meter daily,25
1764,HAZARDOUS MATERIALS,unsafe company chemical abandoned,10
263,SEWER,manhole cover broken making noise,20
658,STREET CONDITION,wood pole knocked,21
384,FOOD ESTABLISHMENT,pesticide,9
642,DCA / DOH NEW LICENSE APPLICATION REQUEST,tobacco retail dealer license application,4
2532,CONSTRUCTION,key locks,1
1757,HAZARDOUS MATERIALS,sweet odor,10
1597,WATER CONSERVATION,lower level overflow,25
304,FOOD ESTABLISHMENT,permit license certificate,9
1438,DOF PARKING - PAYMENT ISSUE,status adjustment,5
1516,SCRIE,copy approval copyright order,19
1649,OTHER,Garbage,16
327,NOISE,noise loud music nighttime,15
2582,PLUMBING,shower clothes,17
2011,NOISE,car alarms,15
1659,OTHER,carbon,16
684,DCA / DOH NEW LICENSE APPLICATION REQUEST,horse drawn carriage owner license,4
1680,OTHER,Detector smoke,16
1418,DOF PARKING - PAYMENT ISSUE,card dof confirmation card number issued,5
317,DCA / DOH NEW LICENSE APPLICATION REQUEST,employment agency license,4
2477,HPD LITERATURE REQUEST,nan lama housing project,12
2399,FOOD ESTABLISHMENT,kitchen food prep field,9
473,DCA / DOH NEW LICENSE APPLICATION REQUEST,temporary food service establishment permit,4
434,PLUMBING,low water pressure wlwp,17
1194,VIOLATION OF PARK RULES,unauthorized amateur film shoot,24
533,NOISE,noise vehicle,15
2253,DOF PROPERTY - REDUCTION ISSUE,personal profile,7
1069,ELECTRICAL,electric locomotive,8
1304,ILLEGAL PARKING,Sidewalk blocked,13
1092,ELECTRICAL,electrical outlet wiring becomes defective exposed,8
1762,HAZARDOUS MATERIALS,unsafe chemical works abandoned,10
443,HPD LITERATURE REQUEST,abcs housing,12
1136,ELECTRICAL,electrical order enforcement work,8
779,CONSUMER COMPLAINT,secondhand dealer,3
799,TRAFFIC,lane station,22
2473,HPD LITERATURE REQUEST,Homefirst Payment Information,12
1570,WATER CONSERVATION,water water meter broken leaking,25
2277,DOF PROPERTY - REDUCTION ISSUE,gross profit exemption,7
2271,DOF PROPERTY - REDUCTION ISSUE,personal veteran freedom,7
271,HPD LITERATURE REQUEST,new lead law rights requirements,12
1455,DOF PARKING - PAYMENT ISSUE,status pv refund,5
6,CONSTRUCTION,floor,1
437,CONSTRUCTION SAFETY ENFORCEMENT,best low rise tracking complaint,2
2354,SEWER,street runner cave depression,20
873,HPD LITERATURE REQUEST,abcs housing russian,12
2449,FOOD ESTABLISHMENT,Toilet facilities,9
1087,ELECTRICAL,bell doorbell intercom,8
519,STREET CONDITION,flood light lamp dim,21
277,STREET CONDITION,flood light lamp cycling,21
852,DCA / DOH NEW LICENSE APPLICATION REQUEST,storage warehouse license,4
431,PLUMBING,damp spot,17
2568,CONSTRUCTION,Escape fire,1
1017,CONSTRUCTION SAFETY ENFORCEMENT,csc scaffolding,2
765,WATER CONSERVATION,swimming pool illegal filling private residence,25
2202,AIR QUALITY,fresh air smoke commercial,0
1232,HIGHWAY CONDITION,Highway pothole,11
1730,HAZARDOUS MATERIALS,real hazmat cube problem,10
2467,HPD LITERATURE REQUEST,payment,12
2105,TREE,dead dying tree,23
1896,DOF PROPERTY - PAYMENT ISSUE,amount dispute owed,6
709,HPD LITERATURE REQUEST,small buildings loan program,12
809,DOF PROPERTY - REDUCTION ISSUE,personal drie exemption,7
418,SCRIE,update tenant information,19
1566,WATER CONSERVATION,water meter caught leaking private gas,25
1392,DOF PARKING - PAYMENT ISSUE,Penalty waive payment late,5
1008,CONSTRUCTION SAFETY ENFORCEMENT,Sweep cse,2
1815,HAZARDOUS MATERIALS,natural gas leak dep inner role,10
1625,WATER CONSERVATION,Illegal use private residences,25
1972,SANITATION,damn loose rubbish,18
2012,NOISE,noise breaking alarms,15
687,ELECTRICAL,con edison referral,8
1692,OTHER,smoke fumes,16
2618,DCA / DOH NEW LICENSE APPLICATION REQUEST,home improvement system contractor license,4
1786,HAZARDOUS MATERIALS,potentially unsafe chemical storage,10
94,SEWER,street flooding,20
656,SCRIE,application portability,19
608,STREET CONDITION,fire alarm lamp missing,21
948,MAINTENANCE OR FACILITY,seating structure indoors,14
1054,CONSTRUCTION SAFETY ENFORCEMENT,interior demo images Edit,2
1328,ILLEGAL PARKING,bike blocked lane,13
1262,HIGHWAY CONDITION,guard rail,11
1067,ELECTRICAL,electric instrument,8
1254,HIGHWAY CONDITION,dead link,11
1913,SANITATION,Improper disposal,18
1882,DOF PROPERTY - PAYMENT ISSUE,bill received error,6
1513,SCRIE,First time applicants,19
1984,SANITATION,Violation canine,18
822,STREET CONDITION,highway sign lighting repair,21
1560,WATER CONSERVATION,Faucetssinksflushometerurinaletc wasting residence private,25
1689,OTHER,Signage,16
232,PLUMBING,sprinkler,17
997,CONSTRUCTION SAFETY ENFORCEMENT,airborne virus tracking,2
83,STREET CONDITION,defective hardware,21
580,DCA / DOH NEW LICENSE APPLICATION REQUEST,newsstand license,4
1537,SCRIE,tac report,19
1250,HIGHWAY CONDITION,dead animal,11
313,TREE,trunk damaged,23
1515,SCRIE,copy approval pending,19
2466,HPD LITERATURE REQUEST,homefirst payment center information,12
514,NOISE,noise manufacturing noise,15
1892,DOF PROPERTY - PAYMENT ISSUE,amount owed dispute,6
481,DOF PROPERTY - REDUCTION ISSUE,commercial cep crp exemption,7
2617,DCA / DOH NEW LICENSE APPLICATION REQUEST,Full time license mobile food sellers,4
885,STREET CONDITION,guide rail,21
1832,DOF PROPERTY - PAYMENT ISSUE,payment bbl made wrong,6
2523,HPD LITERATURE REQUEST,international studies program course guide,12
2247,DOF PROPERTY - REDUCTION ISSUE,personal star immunity,7
